Name,Tags,Property
Clúster Estratégico Robotico,Hightech,28
Clúster Estretegico Tecnosalud,Hightech,30
Clúster Estratégico Tecnofisico,Hightech,31
Clúster Estrategico Tecnoquimico,Hightech,32
Clúster Estrategico Tecnoenergia,Hightech,32
Clúster Estretegico Tecnobiologico,Hightech,34
Clúster Mayor Tecnologias Textiles,Lowtech,34
Clúster Estretegico Tecnomateriales,Hightech,35
Clúster Estrategico Tecnofabricacion,Hightech,36
Clúster Mayor Tecnologias Educativas,"Midtech, Service",36
Clúster Mayor Tenolocias Financieras,Service,36
Clúster Estrategico Tecnoalimentario,Hightech,36
Clúster Complementario Tecnoindustrial,"Complementary, Midtech",38
Clúster Mayor Turistico y Hospitalidad,Service,38
Cluster Mayor de Servicos Profersionales,Service,40
Clúster Mayor de Refrigeración y Climatización,Soporte,46
Clúster Mayor Tecnologico en Gestión de Residual,Soporte,48
Clúster Mayor Tecnologicode Construcción Avanzada,Soporte,49
Clúster Mayor Tecnologias  y Servicios Audiovisuales,Lowtech,52
Clúster Mayor de Tecnologia  Logística y de Transporte,Soporte,54
Clúster Estratégico Sistemas Computaciones y Inteligentes,Hightech,57
"Cluster Mayor de Tecnología, Madera y Soluciones Celulósicas",Lowtech,60
"Clúster Estrategico Tecnología de Defensa, Espacio y Seguridad",Hightech,62
"Clúster Estratégico Soluciones en Investigación, Desarrollo e Innovación",Meta,72